City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_Description
0,Mataura,NZ,2022-02-05 00:51:09,-46.1927,168.8643,55.47,40,20,3.2,few clouds
1,Airai,TL,2022-02-05 00:51:10,-8.9266,125.4092,70.25,70,100,1.63,overcast clouds
2,Atasu,KZ,2022-02-05 00:51:10,48.6814,71.6433,6.51,79,5,9.86,clear sky
3,Nyuzen,JP,2022-02-05 00:51:11,36.9333,137.5,34.5,86,100,15.37,snow
4,Rikitea,PF,2022-02-05 00:50:16,-23.1203,-134.9692,79.03,67,5,5.95,clear sky
5,Chandvad,IN,2022-02-05 00:51:11,20.3333,74.25,54.66,46,100,2.59,overcast clouds
6,Kaitangata,NZ,2022-02-05 00:51:12,-46.2817,169.8464,59.04,49,28,7.29,scattered clouds
7,East London,ZA,2022-02-05 00:51:12,-33.0153,27.9116,68.86,85,100,7.43,light rain
8,Cape Town,ZA,2022-02-05 00:51:12,-33.9258,18.4232,64.89,68,0,5.01,clear sky
9,Najran,SA,2022-02-05 00:51:13,17.4924,44.1277,66.85,71,4,8.57,clear sky
10,Pisco,PE,2022-02-05 00:47:28,-13.7,-76.2167,68.05,83,0,18.41,clear sky
11,Lasa,IT,2022-02-05 00:51:14,46.6166,10.7002,38.66,83,14,6.2,few clouds
12,Kijang,KR,2022-02-05 00:51:14,35.2442,129.2139,28.13,46,8,14.58,clear sky
13,Saint-Georges,GD,2022-02-05 00:51:14,12.0564,-61.7485,76.68,78,20,10.36,few clouds
14,Arraial Do Cabo,BR,2022-02-05 00:51:15,-22.9661,-42.0278,76.26,87,100,21.36,overcast clouds
15,Dawei,MM,2022-02-05 00:51:15,14.0833,98.2,74.21,83,82,3.56,broken clouds
16,Hilo,US,2022-02-05 00:48:34,19.7297,-155.09,78.53,77,100,6.91,overcast clouds
17,Albany,US,2022-02-05 00:48:04,42.6001,-73.9662,20.26,86,100,1.99,overcast clouds
18,Essex,US,2022-02-05 00:51:16,40.7834,-74.2163,34.09,90,100,4.0,light snow
19,Busselton,AU,2022-02-05 00:51:16,-33.65,115.3333,83.26,32,2,4.45,clear sky
20,Punta Arenas,CL,2022-02-05 00:51:17,-53.15,-70.9167,51.91,62,0,3.44,clear sky
21,Itarema,BR,2022-02-05 00:51:18,-2.9248,-39.9167,79.14,80,62,10.09,broken clouds
22,Ushuaia,AR,2022-02-05 00:50:26,-54.8,-68.3,51.46,62,0,11.5,clear sky
23,Cidreira,BR,2022-02-05 00:46:19,-30.1811,-50.2056,73.0,91,24,4.97,few clouds
24,Progreso,MX,2022-02-05 00:51:18,21.2833,-89.6667,77.11,86,63,10.94,broken clouds
25,Yellowknife,CA,2022-02-05 00:51:19,62.456,-114.3525,-26.72,80,40,2.3,scattered clouds
26,Puerto Ayora,EC,2022-02-05 00:51:19,-0.7393,-90.3518,75.54,92,70,3.0,broken clouds
27,Aswan,EG,2022-02-05 00:45:16,24.0934,32.907,51.1,50,0,5.75,clear sky
28,Lashio,MM,2022-02-05 00:51:20,22.9333,97.75,50.14,65,0,1.12,clear sky
29,Butaritari,KI,2022-02-05 00:50:22,3.0707,172.7902,82.45,77,18,18.81,few clouds
30,Jamestown,US,2022-02-05 00:47:20,42.097,-79.2353,19.09,51,100,3.44,overcast clouds
31,Muisne,EC,2022-02-05 00:51:21,0.6,-80.0333,76.84,81,87,4.36,overcast clouds
32,Provideniya,RU,2022-02-05 00:51:21,64.3833,-173.3,4.3,60,3,10.65,clear sky
33,Vardo,NO,2022-02-05 00:51:22,70.3705,31.1107,21.4,93,100,33.64,snow
34,Lanquin,GT,2022-02-05 00:51:22,15.5667,-89.9667,74.93,98,10,3.29,clear sky
35,Khatanga,RU,2022-02-05 00:47:29,71.9667,102.5,-36.27,100,86,2.51,overcast clouds
36,Bluff,NZ,2022-02-05 00:51:23,-46.6,168.3333,55.8,57,65,6.06,broken clouds
37,Avarua,CK,2022-02-05 00:51:23,-21.2078,-159.775,82.45,83,40,13.8,light rain
38,Port-Gentil,GA,2022-02-05 00:51:24,-0.7193,8.7815,79.52,80,46,8.57,scattered clouds
39,Kavieng,PG,2022-02-05 00:42:30,-2.5744,150.7967,83.61,69,100,4.99,overcast clouds
40,Atuona,PF,2022-02-05 00:51:24,-9.8,-139.0333,78.39,77,30,15.57,scattered clouds
41,Tsiroanomandidy,MG,2022-02-05 00:51:25,-18.7667,46.0333,66.96,97,55,4.88,broken clouds
42,Guerrero Negro,MX,2022-02-05 00:50:06,27.9769,-114.0611,63.14,27,0,7.2,clear sky
43,Tura,IN,2022-02-05 00:51:25,25.5198,90.2201,52.02,97,28,1.7,scattered clouds
44,Tasiilaq,GL,2022-02-05 00:48:40,65.6145,-37.6368,24.96,73,100,40.26,overcast clouds
45,Upernavik,GL,2022-02-05 00:51:26,72.7868,-56.1549,1.2,96,100,6.15,overcast clouds
46,Zhigansk,RU,2022-02-05 00:51:27,66.7697,123.3711,-30.44,99,99,5.14,overcast clouds
47,Kariba,ZW,2022-02-05 00:52:27,-16.5167,28.8,69.96,91,100,3.31,light rain
48,Santana Do Livramento,BR,2022-02-05 00:49:57,-30.8908,-55.5328,77.86,59,56,4.03,broken clouds
49,Manggar,ID,2022-02-05 00:52:28,-2.8833,108.2667,80.65,79,100,3.98,overcast clouds
50,Beringovskiy,RU,2022-02-05 00:52:28,63.05,179.3167,-7.01,85,42,12.08,scattered clouds
51,Lokoja,NG,2022-02-05 00:52:29,7.8024,6.743,75.58,17,0,1.28,clear sky
52,Tambura,SS,2022-02-05 00:52:29,5.6,27.4667,72.57,23,100,5.77,overcast clouds
53,Saint-Augustin,CA,2022-02-05 00:52:29,51.226,-58.6502,-7.73,84,100,9.78,overcast clouds
54,Pevek,RU,2022-02-05 00:52:30,69.7008,170.3133,-23.44,100,100,5.28,overcast clouds
55,Bethel,US,2022-02-05 00:52:30,41.3712,-73.414,32.47,85,100,5.75,overcast clouds
56,Geraldton,AU,2022-02-05 00:47:46,-28.7667,114.6,99.12,11,0,17.27,clear sky
57,Muros,ES,2022-02-05 00:52:31,42.7762,-9.0603,52.23,86,100,15.05,overcast clouds
58,Cuamba,MZ,2022-02-05 00:52:32,-14.8031,36.5372,68.92,95,100,3.36,overcast clouds
59,Sharan,RU,2022-02-05 00:52:32,54.8167,54.0,25.95,88,100,9.51,light snow
60,Katsuura,JP,2022-02-05 00:52:33,35.1333,140.3,48.18,44,95,12.33,overcast clouds
61,Ponta Do Sol,PT,2022-02-05 00:52:33,32.6667,-17.1,66.7,64,97,3.71,overcast clouds
62,Ribeira Grande,PT,2022-02-05 00:52:33,38.5167,-28.7,59.18,81,28,15.19,scattered clouds
63,Mumford,GH,2022-02-05 00:52:34,5.2618,-0.759,79.47,82,24,3.6,light rain
64,Saint George,US,2022-02-05 00:52:34,37.1041,-113.5841,52.27,20,0,3.44,clear sky
65,Chokurdakh,RU,2022-02-05 00:50:28,70.6333,147.9167,-30.78,100,16,1.72,few clouds
66,Linxia,CN,2022-02-05 00:52:35,35.6003,103.2064,18.14,92,100,1.41,light snow
67,Sao Filipe,CV,2022-02-05 00:52:35,14.8961,-24.4956,73.13,73,0,6.13,clear sky
68,Port Lincoln,AU,2022-02-05 00:52:36,-34.7333,135.8667,70.88,66,6,12.66,clear sky
69,Talara,PE,2022-02-05 00:52:36,-4.5772,-81.2719,71.71,85,15,13.89,few clouds
70,Lebu,CL,2022-02-05 00:52:36,-37.6167,-73.65,57.79,87,51,16.91,broken clouds
71,Florida,US,2022-02-05 00:52:37,28.7505,-82.5001,75.22,89,0,5.75,clear sky
72,Necochea,AR,2022-02-05 00:52:37,-38.5473,-58.7368,59.04,82,100,16.15,moderate rain
73,Banda Aceh,ID,2022-02-05 00:52:38,5.5577,95.3222,78.89,80,86,8.77,overcast clouds
74,Severo-Kurilsk,RU,2022-02-05 00:52:38,50.6789,156.125,31.17,88,90,8.39,light snow
75,Raton,US,2022-02-05 00:52:38,36.9034,-104.4391,30.54,43,0,4.61,clear sky
76,Hasaki,JP,2022-02-05 00:52:39,35.7333,140.8333,41.4,39,2,22.37,clear sky
77,Pacific Grove,US,2022-02-05 00:49:27,36.6177,-121.9166,66.4,54,0,1.99,clear sky
78,Kushima,JP,2022-02-05 00:52:39,31.4583,131.2333,42.84,57,19,12.55,few clouds
79,Anloga,GH,2022-02-05 00:52:40,5.7947,0.8973,82.62,82,1,7.25,clear sky
80,Vaini,TO,2022-02-05 00:52:40,-21.2,-175.2,77.16,100,100,11.5,light rain
81,Sitka,US,2022-02-05 00:50:22,57.0531,-135.33,42.69,87,100,3.44,moderate rain
82,Mar Del Plata,AR,2022-02-05 00:50:46,-38.0023,-57.5575,69.1,83,100,4.0,overcast clouds
83,Lokosovo,RU,2022-02-05 00:52:41,61.1333,74.8167,11.1,97,100,5.59,overcast clouds
84,Feijo,BR,2022-02-05 00:52:41,-8.1642,-70.3536,72.3,99,99,2.28,overcast clouds
85,Kalmar,SE,2022-02-05 00:52:42,56.6616,16.3616,35.53,94,20,5.75,few clouds
86,Chimoio,MZ,2022-02-05 00:52:42,-19.1164,33.4833,66.27,97,100,2.13,overcast clouds
87,Xacmaz,AZ,2022-02-05 00:52:43,41.4635,48.806,41.65,88,99,14.43,overcast clouds
88,Carnarvon,AU,2022-02-05 00:52:43,-24.8667,113.6333,91.47,19,13,12.66,few clouds
89,Okha,RU,2022-02-05 00:52:44,53.5739,142.9478,2.37,92,100,21.05,overcast clouds
90,Buala,SB,2022-02-05 00:52:44,-8.145,159.5921,83.39,80,100,8.61,light rain
91,Codrington,AU,2022-02-05 00:52:45,-38.2667,141.9667,70.63,52,94,13.24,overcast clouds
92,Yulara,AU,2022-02-05 00:52:45,-25.2406,130.9889,76.84,33,0,12.66,clear sky
93,Te Anau,NZ,2022-02-05 00:50:08,-45.4167,167.7167,61.32,42,6,4.79,clear sky
94,Tumaco,CO,2022-02-05 00:53:46,1.7986,-78.8156,75.0,91,97,3.02,light rain
95,Kelvington,CA,2022-02-05 00:53:46,52.1667,-103.5343,-4.34,98,100,14.23,light snow
96,Mount Isa,AU,2022-02-05 00:53:46,-20.7333,139.5,85.77,26,6,9.22,clear sky
97,Cherskiy,RU,2022-02-05 00:53:47,68.75,161.3,-30.91,97,11,4.72,few clouds
98,Ketchikan,US,2022-02-05 00:53:47,55.3422,-131.6461,42.78,98,100,3.71,light rain
99,Bredasdorp,ZA,2022-02-05 00:50:22,-34.5322,20.0403,67.32,64,92,12.66,overcast clouds
100,Narsaq,GL,2022-02-05 00:53:48,60.9167,-46.05,-1.16,55,0,14.99,clear sky
101,Taoudenni,ML,2022-02-05 00:53:44,22.6783,-3.9836,65.43,14,24,9.46,few clouds
102,Fortuna,US,2022-02-05 00:53:49,40.5982,-124.1573,55.47,86,0,3.0,clear sky
103,Teplyk,UA,2022-02-05 00:53:49,48.6657,29.745,27.18,81,92,6.11,overcast clouds
104,Yarada,IN,2022-02-05 00:53:49,17.65,83.2667,71.92,100,40,2.3,mist
105,Tocopilla,CL,2022-02-05 00:53:50,-22.092,-70.1979,71.02,70,3,11.77,clear sky
106,Kavaratti,IN,2022-02-05 00:53:50,10.5669,72.642,77.65,59,100,4.56,overcast clouds
107,Rumphi,MW,2022-02-05 00:53:51,-11.0186,33.8575,62.55,90,100,2.04,overcast clouds
108,Alofi,NU,2022-02-05 00:53:51,-19.0595,-169.9187,82.29,83,100,10.36,overcast clouds
109,Olafsvik,IS,2022-02-05 00:53:52,64.8945,-23.7142,27.32,68,100,24.38,overcast clouds
110,San Quintin,MX,2022-02-05 00:53:52,30.4833,-115.95,59.36,48,4,6.67,clear sky
111,Luganville,VU,2022-02-05 00:53:53,-15.5333,167.1667,81.39,81,100,3.89,overcast clouds
112,Beyneu,KZ,2022-02-05 00:53:53,45.3167,55.2,37.29,89,97,7.76,overcast clouds
113,Masaka,UG,2022-02-05 00:53:53,-0.3338,31.7341,65.08,76,100,3.38,overcast clouds
114,Camacha,PT,2022-02-05 00:53:54,33.0833,-16.3333,60.22,88,20,2.3,few clouds
115,Saldanha,ZA,2022-02-05 00:52:38,-33.0117,17.9442,59.05,74,0,12.75,clear sky
116,Dikson,RU,2022-02-05 00:51:38,73.5069,80.5464,-1.43,94,100,6.53,overcast clouds
117,Nalut,LY,2022-02-05 00:53:55,30.3333,10.85,49.5,37,5,8.34,clear sky
118,Gimli,CA,2022-02-05 00:53:55,50.6336,-96.9907,-11.56,76,100,3.44,overcast clouds
119,Juruti,BR,2022-02-05 00:53:56,-2.1522,-56.0922,74.5,91,96,0.69,overcast clouds
120,Uyemskiy,RU,2022-02-05 00:53:56,64.4743,40.8524,-9.35,84,20,4.47,few clouds
121,Nova Olimpia,BR,2022-02-05 00:53:56,-14.7972,-57.2881,74.48,88,100,3.53,overcast clouds
122,Dingle,PH,2022-02-05 00:53:57,10.9995,122.6711,76.64,84,98,13.29,overcast clouds
123,Kirakira,SB,2022-02-05 00:53:57,-10.4544,161.9205,84.09,76,100,6.35,overcast clouds
124,Luzhou,CN,2022-02-05 00:53:58,28.8724,105.4405,48.11,76,100,2.42,overcast clouds
125,Port Alfred,ZA,2022-02-05 00:53:58,-33.5906,26.891,68.74,81,98,7.18,light rain
126,Hithadhoo,MV,2022-02-05 00:53:59,-0.6,73.0833,81.61,73,99,10.51,overcast clouds
127,Oxapampa,PE,2022-02-05 00:53:59,-10.5775,-75.4017,59.77,99,91,1.07,overcast clouds
128,Wollongong,AU,2022-02-05 00:53:59,-34.4333,150.8833,73.8,69,93,15.84,overcast clouds
129,Haines Junction,CA,2022-02-05 00:54:00,60.7522,-137.5108,-0.45,78,100,0.0,overcast clouds
130,Souillac,MU,2022-02-05 00:54:00,-20.5167,57.5167,79.36,86,99,17.0,light rain
131,Vao,NC,2022-02-05 00:54:01,-22.6667,167.4833,80.24,87,100,14.76,light rain
132,Faya,SA,2022-02-05 00:54:01,18.3851,42.4509,55.51,89,17,6.13,few clouds
133,Ostersund,SE,2022-02-05 00:52:28,63.1792,14.6357,27.05,74,4,11.5,clear sky
134,Pinega,RU,2022-02-05 00:54:02,64.7001,43.3936,-7.04,100,100,4.61,overcast clouds
135,Whitianga,NZ,2022-02-05 00:50:30,-36.8333,175.7,78.03,74,15,10.78,few clouds
136,Hermanus,ZA,2022-02-05 00:54:02,-34.4187,19.2345,62.91,69,2,18.19,clear sky
137,Lompoc,US,2022-02-05 00:54:03,34.6391,-120.4579,64.71,49,0,10.36,clear sky
138,Hobart,AU,2022-02-05 00:51:47,-42.8794,147.3294,67.12,78,75,6.91,broken clouds
139,Tuatapere,NZ,2022-02-05 00:54:03,-46.1333,167.6833,55.81,53,37,6.38,scattered clouds
140,Ndele,CF,2022-02-05 00:54:04,8.4109,20.6473,71.01,23,4,5.1,clear sky
141,Laguna,US,2022-02-05 00:54:04,38.421,-121.4238,65.23,34,20,2.55,few clouds
142,Longyearbyen,SJ,2022-02-05 00:54:14,78.2186,15.6401,15.64,57,40,25.32,scattered clouds
143,Nizhniy Tsasuchey,RU,2022-02-05 00:55:05,50.5167,115.1333,4.03,77,43,13.11,scattered clouds
144,Bien Hoa,VN,2022-02-05 00:55:05,10.95,106.8167,76.98,67,89,4.32,overcast clouds
145,Kushalgarh,IN,2022-02-05 00:55:06,23.199,74.4507,57.54,26,0,3.4,clear sky
146,Nikolskoye,RU,2022-02-05 00:55:06,59.7035,30.7861,19.29,89,99,12.03,overcast clouds
147,Kruisfontein,ZA,2022-02-05 00:55:06,-34.0033,24.7314,64.89,78,28,4.59,scattered clouds
148,Linkuva,LT,2022-02-05 00:55:07,56.0856,23.9725,34.47,98,100,16.71,overcast clouds
149,Tuktoyaktuk,CA,2022-02-05 00:51:16,69.4541,-133.0374,-23.8,76,0,12.66,clear sky
150,Beira,MZ,2022-02-05 00:55:08,-19.8436,34.8389,80.69,83,20,1.99,few clouds
151,Juba,SS,2022-02-05 00:55:08,4.8517,31.5825,77.9,26,100,3.06,overcast clouds
152,Sambava,MG,2022-02-05 00:55:09,-14.2667,50.1667,75.9,83,100,3.98,overcast clouds
153,Olot,ES,2022-02-05 00:55:09,42.181,2.4901,51.35,78,96,2.15,overcast clouds
154,Tabuk,PH,2022-02-05 00:55:09,17.4189,121.4443,72.48,85,90,6.8,overcast clouds
155,Ilulissat,GL,2022-02-05 00:55:10,69.2167,-51.1,2.03,89,100,10.0,overcast clouds
156,Beloha,MG,2022-02-05 00:55:10,-25.1667,45.05,74.37,87,42,15.48,scattered clouds
157,Bambanglipuro,ID,2022-02-05 00:55:11,-7.95,110.2833,81.32,76,89,5.64,overcast clouds
158,Georgetown,MY,2022-02-05 00:53:20,5.4112,100.3354,79.9,93,20,0.0,few clouds
159,Whitley Bay,GB,2022-02-05 00:52:25,55.0397,-1.4471,38.8,85,0,16.11,clear sky
160,Rosarito,MX,2022-02-05 00:55:12,32.3333,-117.0333,68.49,24,4,15.35,clear sky
161,Le Port,RE,2022-02-05 00:55:12,-20.9373,55.2919,80.56,84,100,22.21,light rain
162,Kapaa,US,2022-02-05 00:55:13,22.0752,-159.319,79.12,59,23,1.01,few clouds
163,San Patricio,US,2022-02-05 00:55:13,28.017,-97.5169,45.28,63,6,15.97,clear sky
164,Marystown,CA,2022-02-05 00:55:14,47.1666,-55.1483,36.86,100,100,5.99,overcast clouds
165,Mercedes,AR,2022-02-05 00:55:14,-34.6515,-59.4307,73.02,92,100,5.82,overcast clouds
166,Karangampel,ID,2022-02-05 00:55:14,-6.4622,108.4519,78.31,87,94,10.33,overcast clouds
167,Yar-Sale,RU,2022-02-05 00:55:15,66.8333,70.8333,5.09,97,100,5.88,overcast clouds
168,Rio Gallegos,AR,2022-02-05 00:55:15,-51.6226,-69.2181,53.65,58,0,16.11,clear sky
169,Merauke,ID,2022-02-05 00:55:16,-8.4667,140.3333,84.99,72,53,15.37,broken clouds
170,Chernoyerkovskaya,RU,2022-02-05 00:55:16,45.4331,37.7686,30.7,80,100,15.01,overcast clouds
171,Los Llanos De Aridane,ES,2022-02-05 00:55:17,28.6585,-17.9182,58.75,80,0,8.99,clear sky
172,Hagi,JP,2022-02-05 00:55:17,34.4,131.4167,38.86,52,96,19.53,overcast clouds
173,Balkhash,KZ,2022-02-05 00:55:18,46.844,74.9804,7.79,79,1,12.21,clear sky
174,Norman Wells,CA,2022-02-05 00:55:18,65.282,-126.8329,-11.16,64,75,19.57,broken clouds
175,Manitowoc,US,2022-02-05 00:55:19,44.0667,-87.8001,13.41,88,100,1.99,overcast clouds
176,Slave Lake,CA,2022-02-05 00:55:19,55.2834,-114.769,3.18,78,100,4.61,overcast clouds
177,Playas,EC,2022-02-05 00:55:19,-2.6333,-80.3833,75.81,81,53,9.73,broken clouds
178,Port Elizabeth,ZA,2022-02-05 00:54:18,-33.918,25.5701,67.1,82,40,6.91,scattered clouds
179,Isangel,VU,2022-02-05 00:55:20,-19.55,169.2667,78.91,94,100,2.3,moderate rain
180,La Union,PE,2022-02-05 00:55:20,-5.4,-80.75,74.41,67,37,16.73,scattered clouds
181,Ossora,RU,2022-02-05 00:55:21,59.2353,163.0719,10.98,73,100,5.91,overcast clouds
182,Victoria,HK,2022-02-05 00:52:57,22.2855,114.1577,59.25,78,100,4.0,overcast clouds
183,Azare,NG,2022-02-05 00:55:21,11.6765,10.1948,59.81,20,3,8.61,clear sky
184,Coruripe,BR,2022-02-05 00:55:22,-10.1256,-36.1756,78.91,75,9,10.31,clear sky
185,Esperance,AU,2022-02-05 00:55:22,-33.8667,121.9,75.04,51,4,11.43,clear sky
186,Castelo Branco,PT,2022-02-05 00:55:23,39.8222,-7.4909,43.79,91,100,3.11,overcast clouds
187,Xuddur,SO,2022-02-05 00:55:23,4.1213,43.8894,67.78,79,32,13.35,scattered clouds
188,Amga,RU,2022-02-05 00:55:24,60.8953,131.9608,-20.47,96,100,2.24,overcast clouds
189,Saint-Philippe,RE,2022-02-05 00:55:17,-21.3585,55.7679,80.15,88,100,25.61,moderate rain
190,Talnakh,RU,2022-02-05 00:56:24,69.4865,88.3972,-6.57,97,89,5.46,overcast clouds
191,Torbay,CA,2022-02-05 00:56:25,47.6666,-52.7314,32.76,96,100,9.22,mist
192,Tamandare,BR,2022-02-05 00:53:13,-8.7597,-35.1047,78.39,77,1,7.47,clear sky
193,New Norfolk,AU,2022-02-05 00:56:25,-42.7826,147.0587,66.76,56,94,1.01,overcast clouds
194,Luderitz,NA,2022-02-05 00:56:26,-26.6481,15.1594,67.53,74,80,3.8,broken clouds
195,Urengoy,RU,2022-02-05 00:56:26,65.9667,78.3667,12.52,96,100,7.11,light snow
196,Barrow,US,2022-02-05 00:51:43,71.2906,-156.7887,-20.18,69,100,9.22,overcast clouds
197,Liverpool,GB,2022-02-05 00:56:27,53.4106,-2.9779,42.82,82,75,7.0,broken clouds
198,Qaanaaq,GL,2022-02-05 00:56:27,77.484,-69.3632,0.68,70,100,6.96,overcast clouds
199,Matagami,CA,2022-02-05 00:56:27,49.7502,-77.6328,-7.49,64,100,3.44,overcast clouds
200,Ko Samui,TH,2022-02-05 00:56:28,9.5357,99.9357,78.71,89,40,9.22,scattered clouds
201,Lagoa,PT,2022-02-05 00:56:28,39.05,-27.9833,57.96,82,93,21.74,overcast clouds
202,Plettenberg Bay,ZA,2022-02-05 00:56:29,-34.0527,23.3716,62.44,78,0,6.2,clear sky
203,Castro,BR,2022-02-05 00:56:29,-24.7911,-50.0119,65.46,98,80,3.44,broken clouds
204,Porto Santo,PT,2022-02-05 00:56:30,33.072,-16.3415,62.98,88,20,2.3,few clouds
205,Banjarmasin,ID,2022-02-05 00:56:30,-3.3244,114.591,78.94,80,100,0.83,overcast clouds
206,Mlowo,TZ,2022-02-05 00:56:31,-9.0,32.9833,57.61,99,100,1.07,light rain
207,Cabo San Lucas,MX,2022-02-05 00:56:31,22.8909,-109.9124,70.52,63,0,5.28,clear sky
208,Sorong,ID,2022-02-05 00:56:32,-0.8833,131.25,84.13,73,100,15.08,overcast clouds
209,Aloleng,PH,2022-02-05 00:56:33,16.1307,119.7824,79.95,67,76,9.01,broken clouds
210,Rawlins,US,2022-02-05 00:56:33,41.7911,-107.2387,32.22,62,7,21.36,clear sky
211,San Vicente,AR,2022-02-05 00:56:34,-26.6167,-54.1333,68.43,94,11,1.7,moderate rain
212,Yoichi,JP,2022-02-05 00:56:34,43.2039,140.7703,6.84,69,92,10.0,light snow
213,Verkhnetulomskiy,RU,2022-02-05 00:56:35,68.6073,31.7962,12.33,91,100,12.75,light snow
214,Thompson,CA,2022-02-05 00:53:40,55.7435,-97.8558,-18.24,69,20,5.75,few clouds
215,Sumenep,ID,2022-02-05 00:56:35,-7.0167,113.8667,82.17,78,95,7.65,overcast clouds
216,Kodiak,US,2022-02-05 00:55:30,57.79,-152.4072,38.71,81,100,3.44,overcast clouds
217,Chara,RU,2022-02-05 00:56:36,56.9064,118.2631,-14.91,86,91,1.21,overcast clouds
218,Saint-Francois,FR,2022-02-05 00:56:36,46.4154,3.9054,42.67,93,100,8.05,overcast clouds
219,Dunedin,NZ,2022-02-05 00:56:37,-45.8742,170.5036,58.8,51,100,4.0,overcast clouds
220,Labuhan,ID,2022-02-05 00:56:37,-6.8844,112.2051,81.86,77,55,8.52,broken clouds
221,Nizhnevartovsk,RU,2022-02-05 00:52:19,60.9344,76.5531,24.82,93,100,6.71,overcast clouds
222,Celestun,MX,2022-02-05 00:56:38,20.8667,-90.4,74.79,88,2,13.87,clear sky
223,Luanda,AO,2022-02-05 00:56:39,-8.8368,13.2343,75.2,88,20,6.91,few clouds
224,Husavik,IS,2022-02-05 00:56:39,66.0449,-17.3389,19.31,94,100,4.47,light snow
225,Berezovyy,RU,2022-02-05 00:56:39,51.6667,135.7,8.69,91,99,0.51,overcast clouds
226,Abeche,TD,2022-02-05 00:56:40,13.8292,20.8324,62.82,19,0,14.09,clear sky
227,Bahia De Caraquez,EC,2022-02-05 00:56:40,-0.6,-80.4167,78.98,83,18,6.24,few clouds
228,Aquiraz,BR,2022-02-05 00:56:41,-3.9014,-38.3911,82.49,81,75,8.86,broken clouds
229,Vodskov,DK,2022-02-05 00:56:41,57.1085,10.0222,37.85,85,40,5.99,scattered clouds
230,Mago,RU,2022-02-05 00:56:42,53.2514,140.1822,3.79,87,100,7.65,overcast clouds
231,Tobermory,CA,2022-02-05 00:56:42,45.2501,-81.6665,10.27,74,100,10.04,overcast clouds
232,Iskateley,RU,2022-02-05 00:56:42,67.6803,53.1512,-13.43,100,100,6.55,overcast clouds
233,Paka,MY,2022-02-05 00:56:43,4.6374,103.4368,80.53,83,20,9.22,few clouds
234,Hamilton,US,2022-02-05 00:52:10,39.1834,-84.5333,24.24,68,100,6.91,overcast clouds
235,Naze,JP,2022-02-05 00:55:27,28.3667,129.4833,56.32,62,97,15.55,overcast clouds
